,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
104802,Viet Tri,19,12,5,SE,0.0,69,14,1023,2015-01-16,Bắc,Lạnh
104803,Viet Tri,20,16,7,ESE,0.3,79,80,1011,2016-01-16,Bắc,Lạnh
104804,Viet Tri,19,14,6,E,0.0,78,76,1019,2017-01-16,Bắc,Lạnh
104805,Viet Tri,20,16,6,SE,0.9,86,92,1015,2018-01-16,Bắc,Mây
104806,Viet Tri,13,12,6,NE,7.1,84,94,1022,2019-01-16,Bắc,Mây
104807,Viet Tri,26,21,14,ESE,2.2,74,74,1015,2020-01-16,Bắc,Lạnh
104808,Viet Tri,20,16,4,S,0.0,75,82,1016,2021-01-16,Bắc,Lạnh
104809,Viet Tri,25,10,5,SSE,0.0,68,2,1020,2009-01-17,Bắc,Lạnh
104810,Viet Tri,22,13,3,SE,0.1,79,56,1025,2010-01-17,Bắc,Lạnh
104811,Viet Tri,19,5,5,E,0.0,58,35,1021,2011-01-17,Bắc,Lạnh
104812,Viet Tri,20,15,8,ESE,1.4,83,70,1011,2012-01-17,Bắc,Mây
104813,Viet Tri,18,14,7,NE,10.3,87,96,1023,2013-01-17,Bắc,Mây
104814,Viet Tri,21,14,5,SSW,0.5,75,49,1024,2014-01-17,Bắc,Lạnh
104815,Viet Tri,20,12,6,SW,0.0,66,15,1023,2015-01-17,Bắc,Lạnh
104816,Viet Tri,23,16,7,S,0.0,74,31,1012,2016-01-17,Bắc,Lạnh
104817,Viet Tri,17,15,6,ENE,0.4,83,98,1020,2017-01-17,Bắc,Mây
104818,Viet Tri,21,18,7,ESE,2.0,86,96,1014,2018-01-17,Bắc,Mây
104819,Viet Tri,17,10,5,ESE,0.0,72,49,1023,2019-01-17,Bắc,Lạnh
104820,Viet Tri,22,20,14,ESE,0.9,76,98,1017,2020-01-17,Bắc,Lạnh
104821,Viet Tri,18,14,7,SSE,0.6,64,87,1025,2021-01-17,Bắc,Lạnh
104822,Viet Tri,22,12,4,ESE,0.1,88,76,1018,2009-01-18,Bắc,Mây
104823,Viet Tri,22,12,5,S,0.0,78,10,1022,2010-01-18,Bắc,Lạnh
104824,Viet Tri,15,9,5,ESE,0.3,71,66,1019,2011-01-18,Bắc,Lạnh
104825,Viet Tri,26,17,5,SE,1.6,84,61,1010,2012-01-18,Bắc,Mây
104826,Viet Tri,17,13,5,ENE,0.9,80,77,1025,2013-01-18,Bắc,Lạnh
104827,Viet Tri,22,12,5,E,0.0,61,9,1027,2014-01-18,Bắc,Lạnh
104828,Viet Tri,19,14,4,E,0.0,60,20,1023,2015-01-18,Bắc,Lạnh
104829,Viet Tri,22,13,8,ESE,0.0,64,35,1016,2016-01-18,Bắc,Lạnh
104830,Viet Tri,21,14,5,ESE,0.0,81,86,1020,2017-01-18,Bắc,Mây
104831,Viet Tri,21,17,9,ESE,0.7,87,87,1015,2018-01-18,Bắc,Mây
104832,Viet Tri,21,12,7,E,0.0,70,49,1020,2019-01-18,Bắc,Lạnh
104833,Viet Tri,18,14,8,E,0.3,78,98,1017,2020-01-18,Bắc,Lạnh
104834,Viet Tri,21,10,6,W,0.0,56,18,1024,2021-01-18,Bắc,Lạnh
104835,Viet Tri,24,15,7,SSE,0.5,84,58,1015,2009-01-19,Bắc,Mây
104836,Viet Tri,27,12,5,SSE,0.0,80,40,1018,2010-01-19,Bắc,Lạnh
104837,Viet Tri,18,9,5,ENE,0.1,71,56,1017,2011-01-19,Bắc,Lạnh
104838,Viet Tri,28,19,6,SSE,1.6,83,52,1011,2012-01-19,Bắc,Mây
104839,Viet Tri,21,9,4,ENE,0.0,45,9,1027,2009-01-15,Bắc,Lạnh
104840,Viet Tri,22,11,5,ENE,0.2,77,42,1022,2010-01-15,Bắc,Lạnh
104841,Viet Tri,18,11,6,ENE,0.7,65,38,1024,2011-01-15,Bắc,Lạnh
104842,Viet Tri,23,16,4,ESE,7.9,87,70,1010,2012-01-15,Bắc,Mây
104843,Viet Tri,20,14,4,ESE,1.7,78,86,1019,2013-01-15,Bắc,Lạnh
104844,Viet Tri,21,10,4,E,0.0,51,1,1024,2014-01-15,Bắc,Lạnh
104845,Viet Tri,22,14,5,ESE,0.0,67,3,1022,2015-01-15,Bắc,Lạnh
104846,Viet Tri,19,15,8,E,2.2,80,92,1013,2016-01-15,Bắc,Lạnh
104847,Viet Tri,18,14,5,NE,0.0,76,78,1020,2017-01-15,Bắc,Lạnh
104848,Viet Tri,21,15,8,SE,0.2,78,91,1016,2018-01-15,Bắc,Lạnh
104849,Viet Tri,21,16,11,E,4.7,86,100,1018,2019-01-15,Bắc,Mây
104850,Viet Tri,26,21,17,SE,0.3,72,65,1014,2020-01-15,Bắc,Lạnh
104851,Viet Tri,25,14,6,SSE,0.0,63,12,1015,2021-01-15,Bắc,Lạnh
104852,Viet Tri,20,12,3,ESE,0.1,77,68,1020,2013-01-19,Bắc,Lạnh
104853,Viet Tri,22,10,5,ESE,0.0,57,1,1024,2014-01-19,Bắc,Lạnh
104854,Viet Tri,20,14,5,E,0.0,60,12,1022,2015-01-19,Bắc,Lạnh
104855,Viet Tri,19,16,7,ESE,0.0,68,82,1018,2016-01-19,Bắc,Lạnh
104856,Viet Tri,20,17,5,ESE,1.2,90,86,1020,2017-01-19,Bắc,Mây
104857,Viet Tri,24,17,7,SE,0.6,72,46,1017,2018-01-19,Bắc,Lạnh
104858,Viet Tri,22,15,6,SE,0.0,81,77,1018,2019-01-19,Bắc,Mây
104859,Viet Tri,17,17,8,E,1.7,83,100,1019,2020-01-19,Bắc,Mây
104860,Viet Tri,22,12,10,ESE,0.0,55,6,1018,2021-01-19,Bắc,Lạnh
104861,Viet Tri,24,15,6,ESE,0.4,85,70,1014,2009-01-20,Bắc,Mây
104862,Viet Tri,24,16,3,SSE,3.7,88,70,1018,2010-01-20,Bắc,Mây
104863,Viet Tri,17,10,6,NE,0.1,75,68,1018,2011-01-20,Bắc,Lạnh
104864,Viet Tri,25,20,9,SE,3.0,87,64,1012,2012-01-20,Bắc,Mây
104865,Viet Tri,24,15,4,SSE,0.1,79,55,1017,2013-01-20,Bắc,Lạnh
