,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
95667,Can Tho,33,24,10,WNW,0.3,76,20,1008,2017-01-13,Nam,Nắng
95668,Can Tho,29,20,7,WSW,0.0,68,16,1012,2018-01-13,Nam,Lạnh
95669,Can Tho,32,24,14,E,0.2,69,28,1011,2019-01-13,Nam,Nắng
95670,Can Tho,32,23,10,E,0.0,69,26,1009,2020-01-13,Nam,Nắng
95671,Can Tho,27,20,7,WSW,0.0,73,31,1012,2021-01-13,Nam,Lạnh
95672,Can Tho,28,18,13,NNE,0.0,68,16,1016,2009-01-15,Nam,Lạnh
95673,Can Tho,31,21,10,E,0.0,64,19,1015,2010-01-15,Nam,Nắng
95674,Can Tho,32,22,9,ESE,0.0,73,17,1011,2011-01-15,Nam,Nắng
95675,Can Tho,31,23,18,ESE,2.0,79,43,1007,2012-01-15,Nam,Nắng
95676,Can Tho,31,22,12,ESE,1.6,79,37,1012,2013-01-15,Nam,Nắng
95677,Can Tho,29,20,10,NE,0.0,69,5,1014,2014-01-15,Nam,Lạnh
95678,Can Tho,30,21,9,SSE,0.0,61,2,1014,2015-01-15,Nam,Nắng
95679,Can Tho,34,24,17,ESE,0.1,73,16,1010,2016-01-15,Nam,Nắng
95680,Can Tho,27,24,7,E,11.5,89,69,1010,2017-01-15,Nam,Mây
95681,Can Tho,29,23,4,SW,0.5,75,58,1010,2018-01-15,Nam,Khác
95682,Can Tho,32,23,7,SSW,0.1,72,30,1010,2019-01-15,Nam,Nắng
95683,Can Tho,31,21,12,E,0.0,72,4,1011,2020-01-15,Nam,Nắng
95684,Can Tho,30,21,7,E,0.0,77,20,1010,2021-01-15,Nam,Nắng
95685,Can Tho,30,22,9,SE,0.0,79,16,1011,2009-01-06,Nam,Nắng
95686,Can Tho,32,24,17,ESE,1.7,69,17,1010,2010-01-06,Nam,Nắng
95687,Can Tho,32,23,16,E,0.7,75,40,1009,2011-01-06,Nam,Nắng
95688,Can Tho,32,22,8,S,3.6,77,12,1013,2012-01-06,Nam,Nắng
95689,Can Tho,25,21,12,WNW,16.1,87,84,1009,2013-01-06,Nam,Mây
95690,Can Tho,29,22,10,E,2.9,79,40,1010,2014-01-06,Nam,Gió
95691,Can Tho,31,24,12,E,1.3,80,31,1009,2015-01-06,Nam,Nắng
95692,Can Tho,33,24,15,ESE,0.0,74,38,1014,2016-01-06,Nam,Nắng
95693,Can Tho,31,24,21,E,0.6,74,28,1008,2017-01-06,Nam,Nắng
95694,Can Tho,31,24,12,ESE,0.5,84,52,1009,2018-01-06,Nam,Nắng
95695,Can Tho,31,24,17,E,0.0,77,13,1013,2019-01-06,Nam,Nắng
95696,Can Tho,32,22,7,SSE,0.0,69,22,1012,2020-01-06,Nam,Nắng
95697,Can Tho,27,23,8,ENE,0.0,84,38,1009,2021-01-06,Nam,Gió
95698,Can Tho,28,18,10,ESE,0.0,68,27,1015,2009-01-12,Nam,Lạnh
95699,Can Tho,33,22,14,ESE,0.0,70,21,1013,2010-01-12,Nam,Nắng
95700,Can Tho,31,23,8,SSE,0.0,73,27,1008,2011-01-12,Nam,Nắng
95701,Can Tho,31,22,13,E,1.3,76,50,1010,2012-01-12,Nam,Nắng
95702,Can Tho,32,23,7,SW,0.1,73,16,1011,2013-01-12,Nam,Nắng
95703,Can Tho,31,23,7,E,4.1,77,50,1013,2014-01-12,Nam,Nắng
95704,Can Tho,32,23,9,ESE,0.4,75,14,1011,2015-01-12,Nam,Nắng
95705,Can Tho,33,24,13,ESE,0.2,74,24,1012,2016-01-12,Nam,Nắng
95706,Can Tho,31,23,7,WSW,0.2,78,31,1008,2017-01-12,Nam,Nắng
95707,Can Tho,30,21,10,E,0.0,69,25,1012,2018-01-12,Nam,Nắng
95708,Can Tho,33,24,13,E,6.3,73,33,1012,2019-01-12,Nam,Nắng
95709,Can Tho,32,22,7,ESE,0.0,75,35,1010,2020-01-12,Nam,Nắng
95710,Can Tho,28,21,10,ENE,0.0,71,32,1012,2021-01-12,Nam,Lạnh
95711,Can Tho,30,20,9,SSE,0.0,72,11,1014,2009-01-17,Nam,Nắng
95712,Can Tho,31,22,9,ENE,0.0,60,43,1014,2010-01-17,Nam,Nắng
95713,Can Tho,30,20,9,NE,0.0,71,19,1011,2011-01-17,Nam,Nắng
95714,Can Tho,31,23,16,ESE,6.3,83,52,1007,2012-01-17,Nam,Nắng
95715,Can Tho,32,22,8,ENE,0.0,70,32,1013,2013-01-17,Nam,Nắng
95716,Can Tho,30,19,7,S,0.0,66,8,1014,2014-01-17,Nam,Nắng
95717,Can Tho,30,21,6,SE,0.1,71,32,1013,2015-01-17,Nam,Nắng
95718,Can Tho,34,24,10,SE,0.0,73,18,1010,2016-01-17,Nam,Nắng
95719,Can Tho,30,24,19,E,0.0,77,24,1011,2017-01-17,Nam,Nắng
95720,Can Tho,28,23,6,SE,6.3,83,58,1009,2018-01-17,Nam,Mây
95721,Can Tho,32,24,17,E,0.0,67,25,1011,2019-01-17,Nam,Nắng
95722,Can Tho,33,22,8,SSE,0.0,73,24,1012,2020-01-17,Nam,Nắng
95723,Can Tho,30,21,9,ESE,0.0,76,25,1011,2021-01-17,Nam,Nắng
95724,Can Tho,28,18,14,ENE,0.0,65,7,1016,2009-01-14,Nam,Lạnh
95725,Can Tho,32,22,14,ENE,0.0,61,29,1015,2010-01-14,Nam,Nắng
95726,Can Tho,31,23,7,S,0.0,74,17,1009,2011-01-14,Nam,Nắng
95727,Can Tho,31,23,19,E,0.2,77,50,1008,2012-01-14,Nam,Nắng
95728,Can Tho,31,22,12,ESE,1.1,77,41,1012,2013-01-14,Nam,Nắng
95729,Can Tho,30,21,8,SW,0.3,75,23,1013,2014-01-14,Nam,Nắng
95730,Can Tho,31,22,8,SSE,0.0,74,20,1013,2015-01-14,Nam,Nắng
95731,Can Tho,34,25,20,E,0.0,71,25,1011,2016-01-14,Nam,Nắng
95732,Can Tho,33,24,11,SSE,3.0,80,34,1008,2017-01-14,Nam,Nắng
