,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
127537,Phan Thiet,31,23,19,ENE,0.0,65,19,1012,2017-01-17,Trung,Nắng
127538,Phan Thiet,28,22,11,ENE,0.0,74,40,1010,2018-01-17,Trung,Gió
127539,Phan Thiet,31,23,24,ENE,0.0,67,12,1012,2019-01-17,Trung,Nắng
127540,Phan Thiet,30,22,17,ENE,0.0,74,10,1013,2020-01-17,Trung,Nắng
127541,Phan Thiet,26,21,16,ENE,0.0,75,17,1012,2021-01-17,Trung,Lạnh
127542,Phan Thiet,28,21,15,ENE,0.0,67,7,1014,2009-01-18,Trung,Lạnh
127543,Phan Thiet,28,23,11,ENE,6.5,75,42,1014,2010-01-18,Trung,Gió
127544,Phan Thiet,30,21,7,SSE,0.0,69,12,1011,2011-01-18,Trung,Nắng
127545,Phan Thiet,30,22,12,ENE,2.7,82,26,1009,2012-01-18,Trung,Nắng
127546,Phan Thiet,30,22,19,NE,0.0,63,11,1014,2013-01-18,Trung,Nắng
127547,Phan Thiet,29,20,19,NE,0.0,65,11,1016,2014-01-18,Trung,Lạnh
127548,Phan Thiet,30,18,15,ENE,0.0,66,16,1014,2015-01-18,Trung,Nắng
127549,Phan Thiet,32,22,9,E,0.0,79,22,1011,2016-01-18,Trung,Nắng
127550,Phan Thiet,32,23,17,ENE,0.0,60,23,1013,2017-01-18,Trung,Nắng
127551,Phan Thiet,30,22,12,NE,0.3,68,48,1010,2018-01-18,Trung,Nắng
127552,Phan Thiet,31,22,25,ENE,0.0,64,5,1012,2019-01-18,Trung,Nắng
127553,Phan Thiet,29,21,18,ENE,0.0,74,13,1013,2020-01-18,Trung,Lạnh
127554,Phan Thiet,27,19,16,NE,0.0,67,6,1013,2021-01-18,Trung,Lạnh
127555,Phan Thiet,28,21,16,NE,0.0,66,17,1017,2009-01-15,Trung,Lạnh
127556,Phan Thiet,31,22,17,NE,0.0,64,8,1015,2010-01-15,Trung,Nắng
